date,open,high,low,close,volume
13.08.2018 22:00:00.000 GMT+0100,1.27593,1.28271,1.27046,1.27214,151104940.3078
14.08.2018 22:00:00.000 GMT+0100,1.27198,1.27352,1.26617,1.26942,146628620.11749998
15.08.2018 22:00:00.000 GMT+0100,1.26940,1.27539,1.26858,1.27088,144392120.9714
16.08.2018 22:00:00.000 GMT+0100,1.27091,1.27524,1.26978,1.27466,135359569.214
17.08.2018 22:00:00.000 GMT+0100,1.27466,1.27466,1.27466,1.27466,0
18.08.2018 22:00:00.000 GMT+0100,1.27466,1.27466,1.27466,1.27466,0
19.08.2018 22:00:00.000 GMT+0100,1.27420,1.27992,1.27293,1.27969,102553100.46379998
20.08.2018 22:00:00.000 GMT+0100,1.27956,1.29242,1.27922,1.28987,151413620.3614
21.08.2018 22:00:00.000 GMT+0100,1.28856,1.29362,1.28685,1.29095,128620108.8869
22.08.2018 22:00:00.000 GMT+0100,1.29095,1.29179,1.28045,1.28132,127485870.23959999
23.08.2018 22:00:00.000 GMT+0100,1.28060,1.28810,1.27992,1.28452,132841661.37719999
24.08.2018 22:00:00.000 GMT+0100,1.28452,1.28452,1.28452,1.28452,0
25.08.2018 22:00:00.000 GMT+0100,1.28452,1.28452,1.28452,1.28452,0
26.08.2018 22:00:00.000 GMT+0100,1.28365,1.29009,1.28287,1.28915,115512520.75209998
27.08.2018 22:00:00.000 GMT+0100,1.28915,1.29317,1.28615,1.28703,125001820.31239998
28.08.2018 22:00:00.000 GMT+0100,1.28700,1.30322,1.28451,1.30250,160120360.59579998
29.08.2018 22:00:00.000 GMT+0100,1.30245,1.30433,1.29849,1.30062,143269451.04979998
30.08.2018 22:00:00.000 GMT+0100,1.30069,1.30287,1.29449,1.29528,142654419.9219
31.08.2018 22:00:00.000 GMT+0100,1.29528,1.29528,1.29528,1.29528,0
01.09.2018 22:00:00.000 GMT+0100,1.29528,1.29528,1.29528,1.29528,0
02.09.2018 22:00:00.000 GMT+0100,1.29095,1.29336,1.28547,1.28676,126906308.83809999
03.09.2018 22:00:00.000 GMT+0100,1.28671,1.28757,1.28100,1.28540,143938011.90210003
04.09.2018 22:00:00.000 GMT+0100,1.28529,1.29822,1.27851,1.29037,157648580.32239997
05.09.2018 22:00:00.000 GMT+0100,1.29031,1.29622,1.28960,1.29261,136863459.9612
06.09.2018 22:00:00.000 GMT+0100,1.29260,1.30278,1.29081,1.29137,162733399.6583
07.09.2018 22:00:00.000 GMT+0100,1.29137,1.29137,1.29137,1.29137,0
08.09.2018 22:00:00.000 GMT+0100,1.29137,1.29137,1.29137,1.29137,0
09.09.2018 22:00:00.000 GMT+0100,1.29179,1.30514,1.28967,1.30253,125994989.86810002
10.09.2018 22:00:00.000 GMT+0100,1.30253,1.30869,1.29641,1.30299,141086990.9669
11.09.2018 22:00:00.000 GMT+0100,1.30299,1.30821,1.29791,1.30446,143666550.9036
12.09.2018 22:00:00.000 GMT+0100,1.30446,1.31233,1.30261,1.31060,141780421.1428
13.09.2018 22:00:00.000 GMT+0100,1.31057,1.31435,1.30565,1.30664,140089081.17709997
14.09.2018 22:00:00.000 GMT+0100,1.30664,1.30664,1.30664,1.30664,0
15.09.2018 22:00:00.000 GMT+0100,1.30664,1.30664,1.30664,1.30664,0
16.09.2018 22:00:00.000 GMT+0100,1.30683,1.31646,1.30672,1.31564,133522419.92189997
17.09.2018 22:00:00.000 GMT+0100,1.31566,1.31725,1.31185,1.31475,149008590.45419997
18.09.2018 22:00:00.000 GMT+0100,1.31475,1.32146,1.30974,1.31427,164822730.46920002
19.09.2018 22:00:00.000 GMT+0100,1.31425,1.32980,1.31303,1.32589,165942588.8672
20.09.2018 22:00:00.000 GMT+0100,1.32588,1.32765,1.30558,1.30764,175118858.5206
21.09.2018 22:00:00.000 GMT+0100,1.30764,1.30764,1.30764,1.30764,0
22.09.2018 22:00:00.000 GMT+0100,1.30764,1.30764,1.30764,1.30764,0
23.09.2018 22:00:00.000 GMT+0100,1.30775,1.31667,1.30628,1.31192,129936489.50199997
24.09.2018 22:00:00.000 GMT+0100,1.31192,1.31933,1.30947,1.31786,138382991.08900002
25.09.2018 22:00:00.000 GMT+0100,1.31785,1.32171,1.31381,1.31639,148748759.5216
26.09.2018 22:00:00.000 GMT+0100,1.31637,1.31779,1.30733,1.30733,147624118.4083
27.09.2018 22:00:00.000 GMT+0100,1.30729,1.30899,1.30002,1.30278,127986928.5283
28.09.2018 22:00:00.000 GMT+0100,1.30278,1.30278,1.30278,1.30278,0
