Date,Open,High,Low,Close,Adj Close,Volume
2011-03-11,1147.500000,1153.000000,1070.500000,1085.250000,1025.897217,2100
2011-03-14,1087.000000,1112.500000,1079.750000,1090.250000,1030.623779,700
2011-03-15,1192.750000,1199.250000,1131.000000,1138.000000,1075.762329,3300
2011-03-16,1140.750000,1207.750000,1118.750000,1188.250000,1123.264038,3900
2011-03-17,1165.250000,1190.250000,1156.750000,1168.500000,1104.594116,1000
2011-03-18,1137.250000,1149.000000,1112.000000,1130.000000,1068.199707,1800
2011-03-21,1085.250000,1103.750000,1073.000000,1073.000000,1014.317078,1200
2011-03-22,1084.000000,1093.000000,1053.250000,1064.750000,1006.518372,1200
2011-03-23,1055.500000,1059.500000,984.750000,991.000000,936.801758,2500
2011-03-24,998.750000,1005.250000,954.750000,998.000000,943.418945,2200
2011-03-25,996.000000,1023.500000,979.500000,1015.000000,959.489197,1600
2011-03-28,1037.750000,1051.750000,1016.250000,1050.250000,992.811340,1800
2011-03-29,1051.500000,1064.000000,1021.250000,1047.750000,990.448120,900
2011-03-30,1021.000000,1042.250000,1005.250000,1007.000000,951.926697,1600
2011-03-31,987.250000,995.250000,976.750000,992.750000,938.456055,800
2011-04-01,999.500000,1014.750000,988.750000,1003.500000,948.618103,2100
2011-04-04,991.000000,1003.750000,973.500000,1001.000000,946.254822,700
2011-04-05,1001.000000,1005.500000,904.250000,905.250000,855.741455,2100
2011-04-06,889.000000,913.750000,880.000000,901.250000,851.960205,2400
2011-04-07,906.500000,913.750000,883.250000,908.000000,858.341064,1300
2011-04-08,876.250000,886.000000,863.750000,870.000000,822.419250,1200
2011-04-11,873.500000,933.500000,873.250000,918.000000,867.794189,2100
2011-04-12,929.750000,962.500000,918.750000,948.000000,896.153442,2800
2011-04-13,929.750000,964.000000,926.250000,954.500000,902.297974,1300
2011-04-14,948.500000,956.750000,921.500000,931.250000,880.319519,2100
2011-04-15,932.250000,947.750000,924.000000,937.000000,885.755005,1300
2011-04-18,938.000000,993.250000,938.000000,955.250000,903.006958,1800
2011-04-19,953.750000,962.750000,928.000000,929.500000,878.665222,1900
2011-04-20,905.750000,916.250000,885.500000,915.750000,865.667175,2700
2011-04-21,897.250000,911.250000,890.500000,899.500000,850.305969,1400
2011-04-25,893.500000,949.000000,893.500000,944.000000,892.372192,2600
2011-04-26,953.750000,983.000000,953.750000,972.250000,919.077148,2400
2011-04-27,958.250000,992.500000,921.250000,925.500000,874.883972,2000
2011-04-28,915.500000,940.000000,898.000000,935.500000,884.337097,1800
2011-04-29,932.750000,937.250000,900.000000,908.250000,858.577393,1200
2011-05-02,930.750000,983.750000,910.250000,968.000000,915.059631,3400
2011-05-03,981.500000,1050.750000,974.000000,1029.250000,972.959900,4900
2011-05-04,1025.000000,1070.500000,1007.250000,1026.750000,970.596680,5400
2011-05-05,1061.000000,1133.250000,1039.000000,1104.750000,1044.330688,8500
2011-05-06,1072.750000,1109.250000,1043.500000,1099.500000,1039.367920,5700
2011-05-09,1073.750000,1095.000000,1057.250000,1059.250000,1001.319153,3100
2011-05-10,1053.250000,1076.750000,1049.750000,1073.500000,1014.789856,1700
2011-05-11,1082.000000,1160.750000,1070.750000,1142.750000,1080.252563,4000
2011-05-12,1172.000000,1201.250000,1132.000000,1158.500000,1095.141113,4200
2011-05-13,1154.750000,1212.000000,1130.000000,1177.000000,1112.629395,2600
2011-05-16,1174.250000,1191.250000,1122.750000,1165.250000,1101.521973,4000
2011-05-17,1182.000000,1201.000000,1137.500000,1142.750000,1080.252563,2700
2011-05-18,1126.250000,1139.000000,1104.250000,1127.500000,1065.836548,5000
2011-05-19,1126.250000,1140.000000,1108.750000,1117.250000,1056.147095,5900
2011-05-20,1117.250000,1158.750000,1081.500000,1109.750000,1049.057251,2600
2011-05-23,1125.750000,1142.250000,1090.500000,1128.250000,1066.545532,2700
2011-05-24,1105.500000,1106.000000,1064.500000,1076.250000,1017.389465,2700
2011-05-25,1070.000000,1081.500000,1041.750000,1060.750000,1002.737122,1600
2011-05-26,1058.750000,1084.250000,1055.250000,1058.750000,1000.846497,2900
2011-05-27,1044.500000,1044.500000,1020.500000,1026.500000,970.360229,5000
2011-05-31,1009.000000,1043.250000,1006.750000,1018.500000,962.797791,4500
2011-06-01,1022.500000,1057.750000,1010.500000,1056.500000,998.719482,1500
2011-06-02,1053.250000,1100.250000,1033.500000,1072.250000,1013.608154,3400
2011-06-03,1086.500000,1095.500000,1060.000000,1077.500000,1018.571045,3700
2011-06-06,1088.500000,1147.750000,1073.000000,1141.750000,1079.307129,3800
2011-06-07,1122.250000,1156.750000,1113.000000,1148.750000,1085.924316,2300
2011-06-08,1173.750000,1223.750000,1159.000000,1198.750000,1133.189819,6100
2011-06-09,1187.500000,1204.250000,1140.500000,1156.500000,1093.250366,2500
2011-06-10,1182.500000,1217.500000,1180.000000,1198.250000,1132.717163,3500
2011-06-13,1209.750000,1253.000000,1188.500000,1237.000000,1169.348022,6000
2011-06-14,1223.250000,1223.500000,1180.750000,1197.750000,1132.244507,5400
2011-06-15,1213.750000,1235.000000,1167.500000,1212.000000,1145.715210,5200
2011-06-16,1218.500000,1299.750000,1214.000000,1269.500000,1200.070435,8300
2011-06-17,1268.750000,1277.500000,1225.000000,1259.750000,1190.853760,3400
2011-06-20,1259.500000,1259.500000,1226.500000,1247.000000,1178.801025,3700
2011-06-21,1224.000000,1249.000000,1156.000000,1162.250000,1098.686035,2800
2011-06-22,1160.250000,1161.750000,1103.500000,1134.000000,1071.980957,5300
2011-06-23,1190.750000,1220.500000,1162.500000,1163.250000,1099.631226,5200
2011-06-24,1167.500000,1228.500000,1167.500000,1223.000000,1156.113525,4800
2011-06-27,1240.500000,1258.000000,1211.250000,1225.500000,1158.476807,3800
2011-06-28,1212.000000,1233.500000,1182.250000,1190.000000,1124.918335,4900
2011-06-29,1171.750000,1175.500000,1112.250000,1139.250000,1076.943848,3200
2011-06-30,1128.250000,1153.750000,1121.750000,1130.500000,1068.672485,4300
2011-07-01,1148.250000,1194.000000,1148.000000,1167.000000,1103.176147,5900
2011-07-05,1110.250000,1129.750000,1079.750000,1092.500000,1032.750732,3300
2011-07-06,1075.250000,1082.000000,1052.500000,1064.000000,1005.809387,2100
2011-07-07,1049.750000,1059.750000,1034.500000,1059.500000,1001.555420,3200
2011-07-08,1047.000000,1070.750000,1035.250000,1059.750000,1001.791748,2400
2011-07-11,1053.250000,1095.000000,1039.250000,1082.750000,1023.533936,3700
2011-07-12,1085.000000,1085.000000,1001.250000,1016.250000,960.670837,4200
2011-07-13,985.750000,987.500000,924.250000,947.750000,895.917114,7900
2011-07-14,924.250000,965.250000,922.000000,959.750000,907.260864,6800
2011-07-15,954.000000,957.500000,932.750000,934.250000,883.155457,2800
2011-07-18,914.000000,915.250000,893.500000,904.250000,854.796204,4300
2011-07-19,898.250000,942.750000,896.000000,932.750000,881.737488,7500
2011-07-20,944.250000,951.500000,906.500000,912.750000,862.831299,4500
2011-07-21,907.750000,930.000000,899.500000,921.250000,870.866394,3500
2011-07-22,910.500000,917.000000,892.500000,899.250000,850.069580,2000
2011-07-25,879.750000,917.750000,872.250000,914.250000,864.249268,3200
2011-07-26,916.250000,926.500000,905.000000,913.750000,863.776611,4600
2011-07-27,901.250000,970.500000,893.750000,968.750000,915.768616,5900
2011-07-28,980.000000,1010.750000,974.250000,980.000000,926.403381,7300
2011-07-29,988.500000,1024.750000,987.500000,1020.750000,964.924744,6100
2011-08-01,1020.750000,1026.000000,973.500000,1002.250000,947.436462,8100
2011-08-02,976.750000,992.500000,946.000000,967.250000,914.350647,7600
2011-08-03,944.500000,950.250000,922.750000,940.750000,889.299988,2200
2011-08-04,926.750000,1077.000000,926.250000,1046.750000,989.502747,8700
2011-08-05,1037.000000,1123.250000,1000.000000,1063.750000,1005.572998,13900
