Gmt time,Open,High,Low,Close,Volume
07.05.2018 19:00:00.000,4.26668,4.26747,4.26512,4.26632,2814.3101
07.05.2018 20:00:00.000,4.26638,4.26996,4.26516,4.26967,3610.0801
07.05.2018 21:00:00.000,4.27011,4.27114,4.26682,4.26983,634.77
07.05.2018 22:00:00.000,4.27030,4.27502,4.26629,4.26870,776.96
07.05.2018 23:00:00.000,4.26927,4.26945,4.26652,4.26707,1946.74
08.05.2018 00:00:00.000,4.26709,4.27477,4.26599,4.26872,3087.96
08.05.2018 01:00:00.000,4.26872,4.27943,4.26777,4.27591,3071.8401
08.05.2018 02:00:00.000,4.27590,4.27913,4.27414,4.27702,2272.71
08.05.2018 03:00:00.000,4.27703,4.27808,4.27296,4.27664,2365.6899
08.05.2018 04:00:00.000,4.27664,4.28845,4.27620,4.28797,2578.8301
08.05.2018 05:00:00.000,4.28798,4.28972,4.27253,4.27485,4792.3799
08.05.2018 06:00:00.000,4.27497,4.27630,4.26296,4.27082,8195.1904
08.05.2018 07:00:00.000,4.27082,4.28470,4.26882,4.28184,7460.71
08.05.2018 08:00:00.000,4.28177,4.29920,4.28002,4.29795,7492.9702
08.05.2018 09:00:00.000,4.29795,4.30039,4.28591,4.29372,5969.4902
08.05.2018 10:00:00.000,4.29372,4.29724,4.28571,4.28757,5211.71
08.05.2018 11:00:00.000,4.28757,4.29586,4.28591,4.28994,4524.5698
08.05.2018 12:00:00.000,4.28993,4.29618,4.28634,4.29085,4197.1201
08.05.2018 13:00:00.000,4.29090,4.30242,4.28964,4.29695,5692.0601
08.05.2018 14:00:00.000,4.29698,4.30420,4.29385,4.29948,7050.6899
08.05.2018 15:00:00.000,4.29953,4.31320,4.29124,4.31276,8664.1699
08.05.2018 16:00:00.000,4.31277,4.31625,4.29517,4.31524,6586.9399
08.05.2018 17:00:00.000,4.31524,4.33010,4.31320,4.31965,6202.79
08.05.2018 18:00:00.000,4.31966,4.33791,4.31921,4.32487,4848.9399
08.05.2018 19:00:00.000,4.32487,4.33780,4.32480,4.33401,4133.8599
08.05.2018 20:00:00.000,4.33399,4.33912,4.32878,4.33645,2736.75
08.05.2018 21:00:00.000,4.33646,4.34050,4.33008,4.34004,773.57
08.05.2018 22:00:00.000,4.34004,4.34662,4.33903,4.34619,2258.24
08.05.2018 23:00:00.000,4.34619,4.35162,4.34149,4.35112,2390.6899
09.05.2018 00:00:00.000,4.35112,4.35189,4.34175,4.34296,2366.3401
09.05.2018 01:00:00.000,4.34296,4.35204,4.34259,4.34914,4117.0698
09.05.2018 02:00:00.000,4.34926,4.35163,4.34798,4.35067,3489.3899
09.05.2018 03:00:00.000,4.35067,4.35079,4.33597,4.33856,2316.75
09.05.2018 04:00:00.000,4.33858,4.34153,4.32705,4.33021,2952.6599
09.05.2018 05:00:00.000,4.33022,4.34277,4.32611,4.33921,3033.76
09.05.2018 06:00:00.000,4.33974,4.37500,4.33895,4.35497,9779.46
09.05.2018 07:00:00.000,4.35482,4.35694,4.28411,4.28437,12725.54
09.05.2018 08:00:00.000,4.28437,4.30395,4.27456,4.27782,9145.6602
09.05.2018 09:00:00.000,4.27782,4.29389,4.27684,4.28507,5117.71
09.05.2018 10:00:00.000,4.28507,4.30943,4.27133,4.27612,10863.5098
09.05.2018 11:00:00.000,4.27612,4.28385,4.26804,4.27958,6727.8398
09.05.2018 12:00:00.000,4.27958,4.28465,4.27527,4.27855,9647.6904
09.05.2018 13:00:00.000,4.27855,4.28048,4.25679,4.26994,10655
09.05.2018 14:00:00.000,4.26994,4.27308,4.25610,4.26700,11374.0195
09.05.2018 15:00:00.000,4.26701,4.29834,4.26667,4.29076,8223.4902
09.05.2018 16:00:00.000,4.29071,4.32885,4.27814,4.31350,8177.7598
09.05.2018 17:00:00.000,4.31320,4.32270,4.29449,4.29819,3848.49
09.05.2018 18:00:00.000,4.29816,4.31090,4.29407,4.29520,5225.21
